,ticker,list_date,market_cap,mkt_cap_low,mkt_cap_high,lower_offer_pr,upper_offer_pr,final_offer_price,over_sub_ratio,allot_odds,firstday_return
0,06618.HK,2020/12/08,1963.81-2207.09,1963.81,1963.81,62.8,70.58,70.58,420.9,0.4,0.0
1,02110.HK,2020/12/07,5.00-6.00,5.0,5.0,0.225,0.27,0.225,35.8,0.2,-0.14667
2,06666.HK,2020/12/02,918.92-1054.05,918.92,918.92,8.5,9.75,8.8,9.7,0.5,-0.00227
3,06996.HK,2020/11/20,105.58-120.81,105.58,105.58,15.8,18.08,18.08,263.8,0.2,0.011059999999999999
4,01516.HK,2020/11/19,316.50-379.50,316.5,316.5,10.55,12.65,11.6,9.4,0.3,0.21897
5,01795.HK,2020/11/18,5.04-6.48,5.04,5.04,0.84,1.08,0.84,17.3,0.25,-0.011899999999999999
8,09666.HK,2020/11/17,55.56-63.27,55.56,55.56,41.8,47.6,44.7,10.2,0.5,0.0
9,01351.HK,2020/11/11,5.00-5.50,5.0,5.0,1.0,1.1,1.1,30.3,0.45,0.31818
10,09901.HK,2020/11/09,2380.62,2380.62,2380.62,1399.0,1399.0,1190.0,0.6,1.0,0.1471
11,09995.HK,2020/11/09,53.75-55.68,53.75,53.75,50.3,52.1,52.1,52.4,0.9,0.33973
13,02126.HK,2020/11/03,75.24-89.53,75.24,75.24,20.0,23.8,23.8,448.4,0.05,-0.07563
14,09698.HK,2020/11/02,1265.21,1265.21,1265.21,86.0,86.0,80.88,5.4,0.8,0.0
15,00873.HK,2020/10/30,348.24-404.71,348.24,348.24,14.8,17.2,16.6,12.9,0.5,0.0
16,03913.HK,2020/10/30,141.25-164.05,141.25,141.25,7.0,8.13,7.89,43.5,0.6,-0.22940000000000002
17,09993.HK,2020/10/29,140.00-180.00,140.0,140.0,3.5,4.5,4.3,0.7,1.0,0.01395
18,02096.HK,2020/10/27,315.29-356.98,315.29,315.29,12.1,13.7,13.7,588.5,0.05,-0.19854
19,02169.HK,2020/10/23,8.50-11.00,8.5,8.5,0.85,1.1,0.95,11.0,0.065,0.052629999999999996
20,02107.HK,2020/10/22,18.60-24.60,18.6,18.6,1.86,2.46,2.4,65.7,0.1,-0.26666999999999996
