ticker,list_date,market_cap,lower_offer_pr,upper_offer_pr,final_offer_price,over_sub_ratio,allot_odds,firstday_return
06618.HK,2020/12/08,"1,963.81-2,207.09",62.80,70.58,70.580,420.9,40.0%,0.000%
02110.HK,2020/12/07,5.00-6.00,0.225,0.270,0.225,35.8,20.0%,-14.667%
06666.HK,2020/12/02,"918.92-1,054.05",8.50,9.75,8.800,9.7,50.0%,-0.227%
06996.HK,2020/11/20,105.58-120.81,15.80,18.08,18.080,263.8,20.0%,+1.106%
01516.HK,2020/11/19,316.50-379.50,10.55,12.65,11.600,9.4,30.0%,+21.897%
01795.HK,2020/11/18,5.04-6.48,0.84,1.08,0.840,17.3,25.0%,-1.190%
02599.HK,2020/11/18,144.00-186.00,4.80,6.20,5.590,認購不足,100.0%,0.000%
06900.HK,2020/11/17,34.00-50.00,1.70,2.50,2.280,認購不足,100.0%,+0.877%
09666.HK,2020/11/17,55.56-63.27,41.80,47.60,44.700,10.2,50.0%,0.000%
01351.HK,2020/11/11,5.00-5.50,1.00,1.10,1.100,30.3,45.0%,+31.818%
09901.HK,2020/11/09,"2,380.62","1,399.00","1,399.00","1,190.000",0.6,100.0%,+14.710%
09995.HK,2020/11/09,53.75-55.68,50.30,52.10,52.100,52.4,90.0%,+33.973%
09963.HK,2020/11/05,N/A,N/A,N/A,N/A,N/A,N/A,+94.400%
02126.HK,2020/11/03,75.24-89.53,20.00,23.80,23.800,448.4,5.0%,-7.563%
09698.HK,2020/11/02,"1,265.21",86.00,86.00,80.880,5.4,80.0%,0.000%
00873.HK,2020/10/30,348.24-404.71,14.80,17.20,16.600,12.9,50.0%,0.000%
03913.HK,2020/10/30,141.25-164.05,7.00,8.13,7.890,43.5,60.0%,-22.940%
09993.HK,2020/10/29,140.00-180.00,3.50,4.50,4.300,0.7,100.0%,+1.395%
02096.HK,2020/10/27,315.29-356.98,12.10,13.70,13.700,588.5,5.0%,-19.854%
02169.HK,2020/10/23,8.50-11.00,0.85,1.10,0.950,11.0,6.5%,+5.263%
02107.HK,2020/10/22,18.60-24.60,1.86,2.46,2.400,65.7,10.0%,-26.667%
01597.HK,2020/10/20,5.00-6.50,2.00,2.60,2.000,76.2,15.0%,+3.500%
02132.HK,2020/10/20,5.20-5.44,0.325,0.34,0.325,58.1,10.0%,-15.385%
06989.HK,2020/10/19,111.60-128.16,9.30,10.68,10.680,651.1,10.0%,+2.996%
08657.HK,2020/10/16,6.20-7.80,1.55,1.95,1.400,12.2,15.0%,-22.857%
02115.HK,2020/10/15,5.04-5.60,0.36,0.40,0.360,12.5,10.0%,+213.889%
02130.HK,2020/10/15,6.13-7.13,2.45,2.85,2.660,33.3,20.0%,+1.880%
09677.HK,2020/10/12,29.39-30.79,3.35,3.51,3.350,認購不足,100.0%,0.000%
01952.HK,2020/10/09,146.61-161.27,50.00,55.00,55.000,653.4,2.0%,+32.273%
06998.HK,2020/10/07,99.68-117.85,20.30,24.00,24.000,"1,246.5",3.0%,+16.458%
02102.HK,2020/10/06,N/A,N/A,N/A,N/A,N/A,N/A,-1.786%
01429.HK,2020/09/29,5.60-7.04,0.35,0.44,0.350,25.8,12.5%,+185.714%
02057.HK,2020/09/29,"2,292.21",268.00,268.00,218.000,5.7,70.0%,+9.174%
09616.HK,2020/09/29,34.53-41.47,5.18,6.22,6.220,299.1,10.0%,0.000%
09991.HK,2020/09/29,251.92,103.90,103.90,82.900,2.6,70.0%,+1.327%
09688.HK,2020/09/28,570.40,648.00,648.00,562.000,2.4,50.0%,+8.541%
00909.HK,2020/09/25,280.65-308.72,15.00,16.50,16.500,643.3,10.0%,+86.061%
06988.HK,2020/09/23,46.54-69.82,2.14,3.21,2.880,"1,631.9",10.0%,-6.250%
01179.HK,2020/09/22,"1,168.21",368.00,368.00,297.000,2.4,100.0%,+4.714%
02101.HK,2020/09/18,27.60-35.60,6.90,8.90,8.900,"1,257.5",2.0%,+3.146%
01455.HK,2020/09/15,5.00-7.50,0.40,0.60,0.400,6.7,30.0%,+230.000%
01408.HK,2020/09/11,5.00-6.00,1.00,1.20,1.000,8.0,30.1%,+186.000%
09987.HK,2020/09/10,"1,961.42",468.00,468.00,412.000,51.3,25.0%,-5.291%
09633.HK,2020/09/08,"970.40-1,069.93",19.50,21.50,21.500,"1,147.3",12.0%,+53.953%
09913.HK,2020/08/14,5.20-6.40,0.52,0.64,0.520,18.2,80.0%,-18.269%
03347.HK,2020/08/07,94.22-107.07,88.00,100.00,100.000,413.4,5.0%,+13.300%
01449.HK,2020/08/06,14.00-17.33,2.10,2.60,2.100,26.9,20.0%,-11.905%
00368.HK,2020/07/17,5.04-5.52,0.63,0.69,0.630,9.7,10.0%,+11.111%
09668.HK,2020/07/16,294.53-308.79,4.75,4.98,4.800,認購不足,100.0%,0.000%
09908.HK,2020/07/16,12.41-16.54,9.00,12.00,10.000,5.7,18.0%,+10.400%
09977.HK,2020/07/16,46.62-71.40,3.33,5.10,3.330,1.1,85.0%,+0.901%
01156.HK,2020/07/15,5.40-7.05,0.98,1.28,0.980,8.4,8.5%,-28.571%
01981.HK,2020/07/15,47.48-51.46,2.86,3.10,3.100,33.6,50.0%,+58.710%
06933.HK,2020/07/15,6.52-7.48,1.63,1.87,1.630,4.6,25.0%,+4.294%
06968.HK,2020/07/15,58.70-66.86,3.60,4.10,3.930,認購不足,100.0%,-0.254%
09986.HK,2020/07/15,10.00-14.00,1.25,1.75,1.250,3.1,50.0%,-10.400%
09990.HK,2020/07/15,79.92-94.60,9.80,11.60,11.600,122.0,20.0%,+75.000%
08659.HK,2020/07/13,2.40-3.60,0.40,0.60,0.400,10.3,13.0%,+90.000%
09906.HK,2020/07/13,10.80-13.80,1.80,2.30,2.100,14.0,10.0%,+15.238%
01163.HK,2020/07/10,5.23-6.23,0.84,1.00,0.860,5.2,45.0%,+24.419%
01477.HK,2020/07/10,77.79-86.66,13.16,14.66,14.660,"1,895.8",5.0%,+152.387%
06958.HK,2020/07/10,36.00-47.00,3.60,4.70,4.550,101.0,40.0%,+23.077%
06969.HK,2020/07/10,559.65-722.88,9.60,12.40,12.400,115.0,20.0%,+150.000%
06978.HK,2020/07/10,54.03-56.60,10.50,11.00,11.000,258.6,20.0%,+40.727%
08623.HK,2020/07/10,2.00-3.20,0.25,0.40,0.300,28.1,60.0%,-27.667%
09979.HK,2020/07/10,43.08-58.74,2.20,3.00,2.500,10.2,40.0%,+30.000%
01957.HK,2020/07/08,5.02-5.53,0.80,0.88,0.800,22.5,65.0%,-56.875%
09989.HK,2020/07/08,40.50-45.34,18.40,20.60,18.400,68.2,40.0%,-4.022%
01971.HK,2020/07/07,13.70-17.85,3.30,4.30,4.150,110.8,30.0%,+6.024%
01502.HK,2020/07/06,6.44-6.80,7.16,7.56,7.360,145.2,20.0%,+28.533%
01650.HK,2020/07/03,5.00-6.00,0.25,0.30,0.250,18.9,20.0%,-46.400%
06078.HK,2020/06/29,102.00-111.00,17.00,18.50,18.500,607.6,8.8%,+40.541%
09997.HK,2020/06/29,154.77-173.81,12.36,13.88,13.880,988.2,9.0%,+98.847%
09958.HK,2020/06/22,7.68-11.52,2.56,3.84,2.560,10.7,20.0%,-37.891%
09618.HK,2020/06/18,"7,293.28",236.00,236.00,226.000,177.9,10.0%,+3.540%
06812.HK,2020/06/11,N/A,N/A,N/A,N/A,N/A,N/A,-1.587%
09999.HK,2020/06/11,"4,321.04",126.00,126.00,123.000,359.5,8.0%,+5.691%
01645.HK,2020/06/03,5.01-6.96,1.08,1.50,1.380,167.3,8.0%,-13.043%
02381.HK,2020/06/02,5.00,0.25,0.25,0.250,36.3,33.1%,-43.600%
09923.HK,2020/06/01,52.43-69.02,12.64,16.64,16.640,640.4,10.0%,+6.130%
09978.HK,2020/05/28,N/A,N/A,N/A,N/A,N/A,N/A,+4.762%
09939.HK,2020/05/22,65.75-74.43,17.80,20.15,20.150,550.3,10.0%,+6.700%
08496.HK,2020/05/18,2.16-2.64,0.90,1.10,0.900,15.4,12.3%,+128.889%
09983.HK,2020/05/15,67.20-86.40,5.60,7.20,6.850,141.5,25.0%,+22.190%
09996.HK,2020/05/15,93.70,15.36,15.36,15.360,"1,183.4",8.5%,+67.969%
01147.HK,2020/05/13,5.00,0.25,0.25,0.250,114.6,30.0%,-34.800%
01936.HK,2020/05/13,5.00-6.00,1.00,1.20,1.000,4.3,30.0%,+176.000%
01376.HK,2020/05/07,5.00-6.50,0.50,0.65,0.500,13.2,10.0%,+26.000%
01953.HK,2020/04/28,5.04-5.80,0.40,0.46,0.400,14.9,25.0%,+18.750%
09926.HK,2020/04/24,113.55-123.47,14.88,16.18,16.180,638.2,12.0%,+50.185%
08616.HK,2020/04/23,2.40-2.80,0.24,0.28,0.240,33.7,20.0%,+112.500%
